topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,photographs,photography,images,pictures,photographer,photograph,chico,camera,photographers,photos
1,percent,black,white,minority,asian,diversity,race,action,american,racial
2,homeless,anderson,shelter,thurber,homelessness,left,gardner,shorris,housing,gold
3,human,brain,scientists,genetic,humans,science,scientific,gene,cells,species
4,president,committee,members,board,office,member,director,staff,chairman,executive
5,team,club,year,attend,member,district,soccer,track,society,national
6,orleans,detroit,op,ed,louisiana,capra,twins,toussaint,haley,katrina
7,library,public,libraries,books,collection,research,reading,york,librarian,room
8,year,years,major,time,boston,number,early,addition,humanities,general
9,british,london,england,britain,cambridge,english,royal,queen,canada,sir
10,ellison,thoreau,dartmouth,emerson,ralph,man,walden,dell,pencil,invisible
11,years,died,born,wife,wrote,son,father,home,family,world
12,museum,art,museums,collection,exhibition,director,american,smithsonian,history,getty
13,football,sports,team,baseball,game,basketball,league,coach,games,players
14,man,love,story,life,character,young,characters,woman,hero,women
15,questions,question,answer,knowledge,thinking,understand,facts,work,answers,reading
16,lecture,lectures,series,jefferson,delbanco,humanities,washington,honor,deliver,hook
17,people,don,things,ve,time,lot,ll,good,back,thing
18,house,senate,bill,senator,congress,committee,republican,representative,democrat,republicans
19,columbus,sullivan,stevens,spanish,list,wait,florida,spain,site,european
20,grade,grades,eighth,class,sixth,seventh,middle,evaluations,graders,teacher
21,room,house,rooms,floor,glass,space,windows,wall,light,hall
22,school,high,schools,students,district,parents,teachers,year,middle,education
23,commission,report,council,humanities,panel,members,committee,chairman,national,member
24,camp,ages,day,camps,sessions,summer,fee,contact,full,week
25,vcu,university,monroe,degree,investigation,holsworth,board,usc,wilder,trani
26,students,class,student,classes,courses,college,school,year,teaching,classroom
27,utah,lake,boulder,colorado,aspen,salt,city,alexander,denver,casey
28,pay,money,financial,income,cost,aid,costs,percent,year,low
29,paper,made,store,box,plastic,feet,pounds,metal,fire,supplies
30,space,miller,moon,earth,nasa,armstrong,mars,apollo,program,astronaut
31,indian,native,indians,american,tribes,people,culture,tribe,tribal,chief
32,connecticut,hartford,haven,yale,west,uconn,wesleyan,library,middletown,trinity
33,ancient,greek,roman,egypt,egyptian,sites,rome,greece,city,classical
34,court,law,rights,state,constitution,government,justice,civil,supreme,federal
35,food,restaurant,dog,wine,fish,eat,daily,beer,restaurants,animals
36,physics,theory,einstein,nuclear,universe,world,light,quantum,atomic,weapons
37,israel,israeli,palestinian,jerusalem,peace,arab,jewish,east,palestinians,minister
38,back,white,black,blue,light,humanities,times,night,eyes,face
39,pg,drama,story,comedy,library,release,documentary,man,wednesday,friday
40,good,people,life,work,great,mind,person,sense,words,experience
41,million,money,fund,year,gift,raising,campaign,support,foundation,raise
42,heart,berger,baker,moss,grossman,hunt,baltzell,ring,kustra,abbey
43,york,city,brooklyn,manhattan,queens,bronx,island,street,center,park
44,political,conservative,liberal,conservatives,left,politics,liberals,wing,ideological,social
45,st,johnson,nancy,kelly,steve,special,american,louis,kevin,barbara
46,island,long,brook,stony,hofstra,hampton,east,nassau,state,midwood
47,award,awards,scholarship,year,honors,honor,winners,received,named,annual
48,tour,park,meeting,free,tours,sponsored,museum,students,sunday,exhibition
49,students,courses,arts,liberal,curriculum,college,humanities,major,study,history
50,franklin,marshall,evans,mitchell,porter,ostebo,van,park,howard,kings
51,president,board,association,years,member,served,national,service,council,director
52,clc,lake,county,college,gallery,community,information,visit,arts,clcillinois
53,charles,daniel,susan,scott,davis,henry,great,martin,arthur,alan
54,funeral,richmond,va,church,home,wife,husband,survived,grandchildren,held
55,street,sundays,saturdays,free,center,museum,avenue,road,art,fridays
56,university,degree,college,school,master,graduate,bachelor,dean,degrees,years
57,art,arts,artists,artist,work,gallery,works,visual,studio,fine
58,king,martin,luther,vatican,civil,rights,rev,pope,cook,day
59,illinois,chicago,elgin,district,community,county,dupage,visit,naperville,college
60,lawrence,jones,tony,la,sarah,won,actor,show,musical,hansen
61,seattle,washington,uw,seattletimes,northwest,county,everett,portland,bellevue,humanities
62,father,graduated,york,university,mother,received,mrs,son,daughter,mr
63,budget,million,cuts,billion,programs,percent,spending,cut,federal,year
64,philosophy,philosopher,philosophers,philosophical,ideas,truth,theory,nature,reason,plato
65,engineering,technology,science,engineers,stem,institute,engineer,sciences,technical,school
66,theater,center,arts,museum,performing,street,exhibition,featuring,university,south
67,humanities,human,moral,society,ethics,ethical,values,issues,questions,public
68,letters,mail,letter,names,stewart,wrote,phone,send,card,cards
69,german,germany,poland,polish,berlin,european,europe,east,communist,government
70,mrs,chicago,husband,curran,barr,miss,sulzberger,lieberman,baldwin,fritz
71,group,members,groups,organization,director,national,association,year,movement,institute
72,iran,islamic,muslim,saudi,government,islam,iraq,iranian,country,attacks
73,bennett,mr,reagan,administration,president,chairman,secretary,education,federal,white
74,books,book,press,publishing,published,university,publishers,publisher,copies,series
75,jersey,newark,rutgers,state,princeton,county,tickets,university,orange,montclair
76,st,free,ave,library,info,center,club,registration,nw,required
77,women,men,female,male,girls,woman,gender,boys,feminist,sex
78,history,american,historical,society,century,historian,historians,past,war,people
79,years,time,ago,great,long,past,back,half,century,change
80,dakota,north,state,roosevelt,scholar,theodore,bismarck,dickinson,clay,jenkinson
81,education,public,system,problems,social,time,quality,change,policy,issues
82,johnson,greenberg,shaw,city,works,public,recent,met,pieces,child
83,trump,president,white,house,donald,obama,administration,campaign,charlottesville,news
84,students,education,colleges,universities,university,college,higher,schools,institutions,graduate
85,maine,call,st,bangor,library,club,main,public,camden,brewer
86,human,world,life,god,man,mind,thought,sense,experience,modern
87,lincoln,slavery,brown,slaves,slave,african,jefferson,abraham,house,union
88,center,building,design,buildings,construction,architecture,project,million,space,built
89,virginia,richmond,county,va,timesdispatch,foundation,commonwealth,chesterfield,henrico,state
90,latin,puerto,la,el,spanish,rico,rican,mexico,del,mexican
91,century,great,work,modern,made,time,early,style,high,age
92,dance,ballet,company,theater,festival,arts,dancers,graham,american,modern
93,computer,technology,computers,software,digital,electronic,tech,machines,line,system
94,st,baltimore,maryland,annapolis,runs,free,road,county,college,theatre
95,church,st,school,dr,ann,charles,united,road,west,methodist
96,party,political,republican,campaign,election,democratic,politics,vote,candidate,voters
97,health,federal,department,government,administration,agency,care,security,public,national
98,years,began,wanted,time,made,found,thought,told,didn,work
99,johnson,kennedy,thompson,goodwin,intelligence,lyndon,sherry,agent,halper,agents
100,giving,percent,billion,organizations,year,contributions,corporate,foundations,private,corporations
101,america,world,people,country,americans,nation,national,century,today,state
102,commencement,degrees,honorary,graduates,speaker,graduation,doctor,ceremony,ceremonies,president
103,brooks,died,services,wednesday,barnes,correction,hayes,hamilton,martin,thursday
104,state,public,governor,director,council,office,department,general,gov,legislature
105,panel,saturday,sunday,stage,fiction,hall,poetry,nonfiction,center,reading
106,adams,adler,great,fryer,hutchins,chicago,rochester,krens,brady,dodge
107,opera,met,gelb,metropolitan,production,bernstein,music,season,operas,wagner
108,north,south,carolina,university,southern,georgia,atlanta,national,center,duke
109,writing,times,write,article,common,reading,core,read,students,lesson
110,lee,statue,davis,monument,confederate,monuments,walker,flag,liberty,statues
111,mother,father,life,house,love,home,living,husband,live,years
112,police,man,officers,violence,killed,year,crime,fire,gun,shot
113,american,america,national,roosevelt,schlesinger,jefferson,war,political,government,franklin
114,idaho,mormon,campbell,utah,weber,gibson,colby,puppets,young,byu
115,tax,taxes,economic,economy,government,inflation,spending,interest,rates,policy
116,sokal,ross,buck,social,academic,ignorance,franca,lingua,text,nichols
117,chicken,food,bread,eat,make,dinner,cream,chocolate,sugar,eggs
118,critics,called,debate,government,charge,attack,issue,criticism,controversy,hackney
119,city,street,building,place,house,people,home,area,main,open
120,children,family,parents,child,kids,young,home,families,school,mother
121,oil,energy,environmental,climate,water,land,gas,national,development,north
122,sex,sexual,gay,marriage,woman,sexuality,love,male,lesbian,homosexuality
123,students,test,college,math,tests,high,school,scores,score,sat
124,research,data,information,researchers,university,study,work,experts,national,scientists
125,small,country,early,young,made,long,american,recent,decade,times
126,ms,mr,woman,york,added,husband,interview,manhattan,nytimes,couple
127,program,programs,center,director,education,school,summer,year,humanities,offers
128,fairfield,theater,greenwich,arts,hartford,yale,center,ridgefield,connecticut,haven
129,arts,nea,cultural,endowment,support,art,artists,federal,humanities,government
130,medical,medicine,doctors,dr,hospital,patients,patient,doctor,health,care
131,study,survey,percent,found,studies,social,psychology,people,researchers,findings
132,game,games,link,berg,players,playing,play,video,classic,player
133,book,books,author,pages,read,writes,written,writing,wrote,write
134,dr,university,professor,research,president,director,york,interview,institute,added
135,fashion,hair,wear,dress,red,clothes,closet,gray,wearing,beauty
136,church,religious,religion,catholic,christian,st,faith,god,christ,roman
137,art,show,exhibition,museum,paintings,works,painting,artists,gallery,artist
138,drug,drugs,tobacco,alcohol,drinking,abuse,food,addiction,cancer,water
139,yale,harvard,graduate,union,university,princeton,strike,summers,labor,levin
140,man,le,genius,student,wrote,belgian,young,brussels,anti,articles
141,company,business,companies,executive,corporate,chief,management,firm,financial,industry
142,chinese,china,international,foreign,american,india,asian,countries,asia,government
143,experience,culture,ways,time,make,important,ideas,life,issues,create
144,jewish,jews,wiesel,holocaust,anti,rabbi,yiddish,israel,hebrew,arendt
145,freud,psychoanalysis,sinatra,psychology,therapy,jung,hillman,gombrich,psychological,erikson
146,roth,art,modernism,critic,paglia,updike,philip,called,high,macdonald
147,festival,events,exhibit,year,event,anniversary,day,national,celebration,humanities
148,studies,university,scholars,academic,study,history,field,professor,research,harvard
149,family,friends,memorial,wife,husband,brother,sister,life,service,son
150,wilson,obama,national,sports,deford,woodrow,president,hyde,barack,bernard
151,law,legal,school,lawyers,lawyer,court,judge,justice,firm,schools
152,sherman,mccormick,taborn,tyson,recording,recordings,sound,leonard,piano,piece
153,life,house,simon,knopf,random,author,schuster,straus,farrar,giroux
154,life,time,years,lives,story,people,family,young,stories,friends
155,war,world,american,civil,military,vietnam,army,soldiers,history,battle
156,make,simply,view,matter,problem,humanities,clear,question,point,process
157,soviet,russian,russia,union,moscow,putin,state,russians,minister,country
158,city,mayor,cities,public,council,district,washington,town,residents,business
159,dylan,melville,dick,moby,carson,speech,text,bob,words,ricks
160,lewis,clark,wolfe,abrams,isaacson,tom,ambrose,kissinger,craven,goodman
161,gay,aids,rice,cole,disney,humor,lesbian,costa,syndrome,institute
162,center,president,institute,foundation,board,university,director,humanities,chairman,arts
163,skills,work,learning,career,learn,world,thinking,humanities,life,job
164,reading,read,twain,book,finn,books,coles,dickens,steinbeck,great
165,officials,week,told,month,asked,made,people,statement,yesterday,news
166,shakespeare,leonardo,plays,hamlet,folger,play,english,juliet,romeo,garber
167,grant,grants,endowment,neh,million,humanities,foundation,year,federal,funds
168,year,years,time,work,ago,week,working,summer,job,long
169,san,california,francisco,diego,berkeley,calif,state,uc,cal,fullerton
170,age,people,older,elderly,teen,aging,life,young,generation,younger
171,island,sea,ship,boat,kosinski,islands,ships,coast,harbor,captain
172,information,center,conference,call,humanities,discussion,public,event,talk,series
