topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
173,taylor,allen,dallas,parker,fox,arnold,albany,billy,rose,tom
174,academy,cohen,rome,brazil,american,york,authority,sennett,berlowitz,kircher
175,black,american,white,african,gates,blacks,race,civil,rights,racial
176,river,summer,winter,water,year,weather,snow,day,days,spring
177,online,web,site,digital,internet,information,media,google,world,sites
178,dayton,center,presents,greene,st,theatre,annual,local,visit,performs
179,prize,award,won,pulitzer,national,winning,nobel,humanities,medal,awards
180,mn,church,age,survived,grandchildren,preceded,visitation,great,passed,service
181,westchester,purchase,hudson,college,arts,white,plains,rochelle,yonkers,center
182,saturday,sunday,friday,information,admission,free,tickets,children,tuesday,street
183,college,university,students,campus,faculty,student,school,academic,year,president
184,military,army,academy,west,point,corps,veterans,air,pentagon,force
185,community,people,project,local,work,communities,support,make,working,members
186,sculpture,objects,carved,exhibition,animal,elephant,animals,sculptures,bronze,circus
187,prison,trial,justice,court,charges,criminal,guilty,investigation,judge,jury
188,president,white,house,bush,cheney,clinton,reagan,secretary,washington,national
189,county,town,state,road,river,farm,valley,small,towns,rural
190,culture,political,cultural,social,society,american,intellectual,politics,western,values
191,film,films,movie,documentary,movies,director,festival,made,hollywood,screen
192,trip,travel,day,hotel,tour,bus,world,home,airport,york
193,faculty,professors,academic,universities,university,teaching,tenure,members,ph,department
194,street,museum,avenue,west,photography,american,rosenberg,closes,made,indian
195,oklahoma,tulsa,city,foundation,moore,state,roberts,arts,norman,hall
196,science,scientific,scientists,physics,mathematics,chemistry,research,scientist,sciences,biology
197,college,applications,school,admissions,high,accepted,percent,application,applicants,received
198,foundation,rockefeller,bard,fellows,mellon,carnegie,macarthur,botstein,fellowships,president
199,park,neighborhood,area,residents,bedroom,avenue,houses,housing,west,street
200,teachers,education,schools,teaching,teacher,school,students,teach,standards,curriculum
201,garden,gardens,house,nature,tour,park,trees,birds,plants,island
202,dakota,north,bismarck,state,mandan,bsc,public,dickinson,fargo,humanities
203,television,public,series,radio,pbs,show,stations,broadcasting,tv,station
204,kennedy,president,center,arts,white,columbia,house,year,singer,honors
205,power,world,today,kind,end,sense,long,longer,future,term
206,estate,price,real,market,family,prices,sale,house,sold,percent
207,rich,nea,government,dunne,barber,art,public,kenyon,didion,people
208,music,orchestra,concert,symphony,concerts,chamber,musical,hall,piano,works
209,people,make,good,big,don,lot,years,hard,money,things
210,salk,vaccine,public,goldman,disease,success,houston,baumol,sector,virus
211,century,show,made,furniture,objects,design,silver,style,arts,designs
212,professor,university,columbia,humanities,college,department,history,english,associate,school
213,mr,york,added,time,called,years,made,interview,office,ms
214,literature,literary,bloom,english,criticism,critics,books,canon,theory,works
215,washington,arlington,md,alexandria,va,montgomery,center,post,massachusetts,philadelphia
216,education,management,science,business,bachelor,cl,elementary,administration,information,mcl
217,joyce,irish,sexton,ireland,beckett,mailer,brien,ulysses,schweitzer,kenner
218,speech,freedom,free,political,public,rights,protest,american,president,support
219,university,stanford,chicago,harvard,california,michigan,berkeley,hopkins,princeton,cornell
220,week,potter,book,list,harry,reilly,bill,weeks,tom,sales
221,project,papers,scholars,years,archives,volumes,published,volume,documents,work
222,music,jazz,band,songs,rock,musical,song,concert,musicians,folk
223,street,west,avenue,east,tomorrow,manhattan,village,broadway,lower,side
224,italian,italy,spain,dasani,spanish,european,florence,europe,renaissance,rome
225,family,tisch,wright,rose,friend,passing,board,staff,condolences,extend
226,language,english,languages,dictionary,words,word,foreign,french,latin,spanish
227,board,state,chancellor,officials,regents,plan,education,city,system,meeting
228,death,dead,day,body,killed,found,man,men,called,died
229,poetry,poet,poems,poets,poem,whitman,read,writing,work,laureate
230,writers,literary,writing,literature,book,writer,author,fiction,books,published
231,africa,african,south,africans,mazrui,hindley,west,western,series,apartheid
232,miss,murray,wharton,edith,reid,harrington,ali,meyer,failure,brodie
233,review,journals,journal,articles,article,kramer,published,publication,hockney,fat
234,movie,movies,comic,star,date,comics,wars,release,hollywood,batman
235,editor,times,news,york,magazine,article,writer,page,newspaper,journalism
236,christmas,holiday,yea,thanksgiving,nay,tree,santa,family,year,holidays
237,tickets,dinner,benefit,event,evening,party,guests,auction,live,reception
238,french,japanese,france,paris,japan,revolution,jean,world,la,international
239,los,angeles,santa,mexico,fe,california,san,mexican,texas,calif
240,health,medical,disease,patients,care,treatment,mental,cancer,pain,people
241,texas,austin,collection,center,university,horowitz,manuscripts,research,ransom,archive
242,economic,workers,jobs,work,business,industry,economy,government,system,american
243,jackson,director,chief,executive,pearl,assistant,senior,national,security,dumont
244,day,back,night,man,year,told,home,asked,room,days
245,story,show,world,stories,characters,age,series,tales,love,tale
246,theater,play,plays,broadway,stage,production,company,drama,theatre,show
247,science,sciences,social,natural,economics,biology,psychology,design,human,humanities
248,percent,job,jobs,college,graduates,major,year,number,majors,average
249,castro,vicente,cuba,pell,cuban,harriet,duras,rubin,esteban,stein
