topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9,term10,term11,term12,term13,term14,term15,term16,term17,term18
0,photographs,photography,images,pictures,photographer,photograph,chico,camera,photographers,photos,photo,image,picture,photographic,prints,time,photographed,collection,view
1,percent,black,white,minority,asian,diversity,race,action,american,racial,americans,hispanic,affirmative,minorities,ethnic,african,blacks,population,groups
2,homeless,anderson,shelter,thurber,homelessness,left,gardner,shorris,housing,gold,clemente,night,boys,poverty,poor,city,acosta,youth,beaumont
3,human,brain,scientists,genetic,humans,science,scientific,gene,cells,species,evolutionary,genes,evolution,neuroscience,animal,nature,behavior,genetics,consciousness
4,president,committee,members,board,office,member,director,staff,chairman,executive,department,decision,job,meeting,administration,letter,announced,vice,general
5,team,club,year,attend,member,district,soccer,track,society,national,gpa,golf,region,whitney,class,school,high,honor,top
6,orleans,detroit,op,ed,louisiana,capra,twins,toussaint,haley,katrina,nobile,hurricane,seuss,city,slade,conjoined,zuckerberg,geisel,chase
7,library,public,libraries,books,collection,research,reading,york,librarian,room,collections,book,branch,million,materials,congress,system,librarians,center
8,year,years,major,time,boston,number,early,addition,humanities,general,period,beginning,noted,national,charles,established,making,division,world
9,british,london,england,britain,cambridge,english,royal,queen,canada,sir,scotland,european,oxford,prince,lord,scottish,canadian,countries,australia
10,ellison,thoreau,dartmouth,emerson,ralph,man,walden,dell,pencil,invisible,delacorte,house,cape,callahan,sweden,henry,freedman,swedish,klein
11,years,died,born,wife,wrote,son,father,home,family,world,survived,daughter,lived,career,death,life,began,married,taught
12,museum,art,museums,collection,exhibition,director,american,smithsonian,history,getty,curator,institution,exhibitions,cultural,collections,modern,metropolitan,visitors,national
13,football,sports,team,baseball,game,basketball,league,coach,games,players,season,athletes,play,athletic,player,teams,field,win,sport
14,man,love,story,life,character,young,characters,woman,hero,women,world,men,narrative,middle,mystery,career,beautiful,strange,romance
15,questions,question,answer,knowledge,thinking,understand,facts,work,answers,reading,words,things,evidence,understanding,found,important,approach,material,meaning
16,lecture,lectures,series,jefferson,delbanco,humanities,washington,honor,deliver,hook,highest,neh,give,lecturer,free,bacon,holton,delivered,lecturing
17,people,don,things,ve,time,lot,ll,good,back,thing,talk,didn,feel,doesn,kind,put,real,making,find
18,house,senate,bill,senator,congress,committee,republican,representative,democrat,republicans,vote,members,appropriations,congressional,legislation,chairman,subcommittee,democrats,yates
19,columbus,sullivan,stevens,spanish,list,wait,florida,spain,site,european,discovery,world,nina,archeologists,deagan,settlement,fort,graph,voyage
20,grade,grades,eighth,class,sixth,seventh,middle,evaluations,graders,teacher,grading,learning,inflation,daughter,weiss,bean,fourth,percent,outward
21,room,house,rooms,floor,glass,space,windows,wall,light,hall,stone,white,walls,small,work,ceiling,dining,foot,great
22,school,high,schools,students,district,parents,teachers,year,middle,education,elementary,principal,student,grade,kids,public,teacher,humanities,class
23,commission,report,council,humanities,panel,members,committee,chairman,national,member,american,group,recommendations,panels,review,appointed,association,advisory,recommended
24,camp,ages,day,camps,sessions,summer,fee,contact,full,week,half,grades,activities,st,entering,session,learn,resident,vary
25,vcu,university,monroe,degree,investigation,holsworth,board,usc,wilder,trani,chief,dean,richmond,faculty,rosenthal,steingass,lacks,commonwealth,visitors
26,students,class,student,classes,courses,college,school,year,teaching,classroom,learning,semester,teach,time,taught,learn,professors,work,week
27,utah,lake,boulder,colorado,aspen,salt,city,alexander,denver,casey,berggruen,conference,chao,mountain,mcintyre,institute,cisneros,murdoch,news
28,pay,money,financial,income,cost,aid,costs,percent,year,low,loans,tuition,debt,poor,families,private,loan,student,rate
29,paper,made,store,box,plastic,feet,pounds,metal,fire,supplies,materials,equipment,size,free,pieces,display,hand,power,boxes
30,space,miller,moon,earth,nasa,armstrong,mars,apollo,program,astronaut,station,millennium,drone,astronauts,olin,lunar,mission,shuttle,rocket
31,indian,native,indians,american,tribes,people,culture,tribe,tribal,chief,colony,americans,cultural,land,life,west,reservation,indigenous,nation
32,connecticut,hartford,haven,yale,west,uconn,wesleyan,library,middletown,trinity,neill,university,england,ends,hall,bridgeport,london,center,museum
33,ancient,greek,roman,egypt,egyptian,sites,rome,greece,city,classical,civilization,artifacts,found,archaeological,classics,century,archaeologists,world,site
34,court,law,rights,state,constitution,government,justice,civil,supreme,federal,laws,legal,states,public,judge,act,amendment,decision,constitutional
35,food,restaurant,dog,wine,fish,eat,daily,beer,restaurants,animals,favorite,breakfast,dogs,table,waters,chef,lunch,animal,culinary
36,physics,theory,einstein,nuclear,universe,world,light,quantum,atomic,weapons,physicist,physicists,string,bomb,watson,energy,space,scientists,system
37,israel,israeli,palestinian,jerusalem,peace,arab,jewish,east,palestinians,minister,palestine,hebrew,middle,west,prime,state,israelis,tel,jews
38,back,white,black,blue,light,humanities,times,night,eyes,face,half,head,make,end,side,hand,dark,air,turn
39,pg,drama,story,comedy,library,release,documentary,man,wednesday,friday,saturday,haven,sunday,woman,free,st,art,center,action
40,good,people,life,work,great,mind,person,sense,words,experience,hard,time,lives,intellectual,feel,times,personal,find,read
41,million,money,fund,year,gift,raising,campaign,support,foundation,raise,donors,raised,largest,funds,president,announced,capital,make,financial
42,heart,berger,baker,moss,grossman,hunt,baltzell,ring,kustra,abbey,bow,jamison,ipod,woodstock,tie,judt,chisholm,logo,barbera
43,york,city,brooklyn,manhattan,queens,bronx,island,street,center,park,cuny,public,long,staten,east,avenue,fordham,urban,hall
44,political,conservative,liberal,conservatives,left,politics,liberals,wing,ideological,social,anti,professors,views,debate,ideas,liberalism,politically,lilla,correctness
45,st,johnson,nancy,kelly,steve,special,american,louis,kevin,barbara,mike,anderson,karen,high,jason,brian,jeff,valley,laura
46,island,long,brook,stony,hofstra,hampton,east,nassau,state,midwood,southampton,huntington,university,library,county,village,adelphi,york,bay
47,award,awards,scholarship,year,honors,honor,winners,received,named,annual,receive,awarded,announced,honored,excellence,winner,outstanding,contest,high
48,tour,park,meeting,free,tours,sponsored,museum,students,sunday,exhibition,walking,central,brooklyn,streets,meets,corner,staten,walk,island
49,students,courses,arts,liberal,curriculum,college,humanities,major,study,history,core,studies,faculty,majors,literature,requirements,western,general,colleges
50,franklin,marshall,evans,mitchell,porter,ostebo,van,park,howard,kings,delaware,reynolds,penn,pyle,huber,myers,barton,del,margaret
51,president,board,association,years,member,served,national,service,council,director,foundation,committee,college,community,award,vice,society,received,club
52,clc,lake,county,college,gallery,community,information,visit,arts,clcillinois,campus,division,reception,grayslake,students,washington,fine,communication,members
53,charles,daniel,susan,scott,davis,henry,great,martin,arthur,alan,anne,hall,gordon,elizabeth,college,lawrence,donald,ray,leonard
54,funeral,richmond,va,church,home,wife,husband,survived,grandchildren,held,great,friends,retired,cemetery,interment,services,receive,mrs,baptist
55,street,sundays,saturdays,free,center,museum,avenue,road,art,fridays,gallery,tuesdays,noon,thursdays,mondays,wednesdays,theater,hours,children
56,university,degree,college,school,master,graduate,bachelor,dean,degrees,years,humanities,education,earned,state,received,arts,assistant,studies,program
57,art,arts,artists,artist,work,gallery,works,visual,studio,fine,contemporary,space,creative,media,sculpture,painting,design,live,created
58,king,martin,luther,vatican,civil,rights,rev,pope,cook,day,time,michelangelo,dream,center,titian,history,nuremberg,famous,made
59,illinois,chicago,elgin,district,community,county,dupage,visit,naperville,college,st,agenda,oakton,education,room,wheaton,information,home,cod
60,lawrence,jones,tony,la,sarah,won,actor,show,musical,hansen,play,actress,sacks,oscar,awards,nominated,weschler,evan,land
61,seattle,washington,uw,seattletimes,northwest,county,everett,portland,bellevue,humanities,pearl,lake,king,oregon,times,skyline,garfield,tacoma,district
62,father,graduated,york,university,mother,received,mrs,son,daughter,mr,married,bride,degree,humanities,college,master,retired,school,cum
63,budget,million,cuts,billion,programs,percent,spending,cut,federal,year,president,funding,proposed,reagan,fiscal,congress,administration,increase,program
64,philosophy,philosopher,philosophers,philosophical,ideas,truth,theory,nature,reason,plato,thinkers,socrates,knowledge,thinking,professor,idea,kant,university,nietzsche
65,engineering,technology,science,engineers,stem,institute,engineer,sciences,technical,school,fields,electrical,research,friedman,mathematics,computer,math,technological,humanities
66,theater,center,arts,museum,performing,street,exhibition,featuring,university,south,american,princeton,playhouse,avenue,morristown,puffin,morris,brunswick,mayo
67,humanities,human,moral,society,ethics,ethical,values,issues,questions,public,people,important,philosophy,understanding,nature,person,humanistic,humanism,views
68,letters,mail,letter,names,stewart,wrote,phone,send,card,cards,message,address,telephone,personal,postal,subject,correspondence,garcia,staff
69,german,germany,poland,polish,berlin,european,europe,east,communist,government,party,west,germans,wolf,war,hitler,communism,nazi,central
70,mrs,chicago,husband,curran,barr,miss,sulzberger,lieberman,baldwin,fritz,county,worked,simmons,member,ochs,barbara,widow,steel,hon
71,group,members,groups,organization,director,national,association,year,movement,institute,meeting,organizations,washington,executive,member,center,international,women,leaders
